status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
107861655950370_1406174446119078,,Evo zašto u Splitu navijaju da Mourinho dovede Perišića,link,http://www.index.hr/sport/clanak/evo-zasto-u-splitu-navijaju-da-mourinho-dovede-perisica/958973.aspx,2017-03-24 11:17:42,94,0,0,90,4,0,0,0,0
107861655950370_1406174336119089,Index Sport: Šok u rukometnom svijetu! Jedan od najboljih na svijetu možda se nikad ne vrati na teren.,TEŠKA NESREĆA Najvećoj rukometnoj zvijezdi Katara prijeti kraj karijere,link,http://www.index.hr/sport/clanak/teska-nesreca-najvecoj-rukometnoj-zvijezdi-katara-prijeti-kraj-karijere/958980.aspx,2017-03-24 11:17:37,50,1,2,41,0,0,0,9,0
107861655950370_1406174272785762,,Miočić i Cigano odmjerili snage na roštilju pa zabavljali publiku na NBA utakmici,link,http://www.index.hr/sport/clanak/miocic-i-cigano-odmjerili-snage-na-rostilju-pa-zabavljali-publiku-na-nba-utakmici/958985.aspx,2017-03-24 11:17:33,22,0,0,22,0,0,0,0,0
107861655950370_1406174212785768,,"""Za kraj karijere možda udarim glavnom nekoga na travnjaku kao Zidane""",link,http://www.index.hr/sport/clanak/za-kraj-karijere-mozda-udarim-glavom-nekoga-na-travnjaku-kao-zidane/958989.aspx,2017-03-24 11:17:29,15,0,0,15,0,0,0,0,0
107861655950370_1406174166119106,Index Sport: Sjećate li se trakavice oko njegovog transfera?,Tottenham se želi riješiti igrača koji je obilježio prijelazni rok i najskupljeg nogometaša u povijesti kluba,link,http://www.index.hr/sport/clanak/tottenham-se-zeli-rijesiti-igraca-koji-je-obiljezio-prijelazni-rok-i-najskupljeg-nogometasa-u-povijesti-kluba/958988.aspx,2017-03-24 11:17:25,24,0,0,24,0,0,0,0,0
107861655950370_1406174102785779,Index Vijesti: Potpuno isti logo i boje...,U Meksiku postoji kopija Konzuma - ne znamo je li Todorićev,link,http://www.index.hr/vijesti/clanak/u-meksiku-postoji-kopija-konzuma--ne-znamo-je-li-todoricev/958962.aspx,2017-03-24 11:17:20,492,40,57,324,8,12,145,0,3
107861655950370_1406174052785784,"Index Sport: Svaka čast, Ukrajinci!",Ukrajinski navijači položili vijenac na spomenik BBB-a poginulih u Domovinskom ratu.,link,http://www.index.hr/sport/clanak/ukrajinski-navijaci-polozili-vijenac-na-spomenik-bbba-poginulih-u-domovinskom-ratu/958995.aspx,2017-03-24 11:17:15,4251,38,89,4052,180,15,3,1,0
107861655950370_1406173992785790,Index Vijesti: Hoćemo li otkriti tajnu vječne mladosti? Lako moguće.,Znanstvenici našli način kako usporiti starenje,link,http://www.index.hr/vijesti/clanak/znanstvenici-nasli-nacin-kako-usporiti-starenje/958970.aspx,2017-03-24 11:17:11,15,4,2,14,0,0,1,0,0
107861655950370_1406173962785793,Glumica se nikad nije sramila pričati o seksu.,"""Ako vas analni seks napaljuje, niste jedini"": Gwyneth Paltrow objavila vodič kroz analni seks",link,http://www.index.hr/black/clanak/ako-vas-analni-seks-napaljuje-niste-jedini-gwyneth-paltrow-objavila-vodic-kroz-analni-seks/958982.aspx,2017-03-24 11:17:07,79,13,0,70,6,0,3,0,0
107861655950370_1406173929452463,"Index Sport: Jose, što si mislio, da ćeš Perišića dovesti u Manchester United bez muke?  :)","FOTO Invazija novinara na ljutitog Mourinha: ""Hvala vam što ste mi dopustili da prošetam po vašem gradu""",link,http://www.index.hr/sport/clanak/foto-invazija-novinara-na-ljutitog--mourinha-hvala-vam-sto-ste-mi-dopustili-da-prosetam-po-vasem-gradu/958986.aspx,2017-03-24 11:17:02,69,5,0,66,0,0,3,0,0
107861655950370_1406143659455490,Index Sport: Što će reći navijači na ove odgovore...,"Totti otvorio dušu o nastavku karijere, nevjerojatnoj izjavi Spallettija i sinu u dresu Juventusa",link,http://www.index.hr/sport/clanak/totti-otvorio-dusu-o-nastavku-karijere-nevjerojatnoj-izjavi-spallettija-i-sinu-u-dresu-juventusa/958968.aspx,2017-03-24 10:39:28,33,0,0,33,0,0,0,0,0
107861655950370_1406143619455494,"Index Sport: Nastupao je i za reprezentaciju Brazila, ali i Srbije.",I to se dogodilo: Gradski rival oteo igrača Juventusu ispred nosa,link,http://www.index.hr/sport/clanak/i-to-se-dogodilo-gradski-rival-oteo-igraca-juventusu-ispred-nosa/958975.aspx,2017-03-24 10:39:23,32,1,0,31,0,0,1,0,0
107861655950370_1406143552788834,"Zašto se u Švedskoj vozi krivom stranom? Jer je došla Kolinda, naravno",VIDEO Zbog Kolinde se u Švedskoj vozilo krivom stranom ceste,link,http://www.index.hr/black/clanak/video-zbog-kolinde-se-u-svedskoj-vozilo-krivom-stranom-ceste/958978.aspx,2017-03-24 10:39:17,92,25,0,30,1,0,53,1,7
107861655950370_1406143442788845,"Index Vijesti: Jedna cijena za domaće, druga za strance.","Bundestag potvrdio, Njemačka uvodi vinjete, evo koliko će koštati za strance",link,http://www.index.hr/vijesti/clanak/bundestag-potvrdio-njemacka-uvodi-vinjete-evo-koliko-ce-kostati-za-strance/958977.aspx,2017-03-24 10:39:11,82,17,14,75,2,1,3,0,1
107861655950370_1406117959458060,Index Rouge: BeautyBox tim ovog se mjeseca posebno potrudio i svim svojim pretplatnicama osigurao čak 9 proizvoda ;),"POŽURI Sve što trebaš ovog proljeća nalazi se u novom Beautyboxu, a količine su ograničene",link,http://www.index.hr/rouge/clanak/pozuri-sve-sto-trebas-ovog-proljeca-nalazi-se-u-novom-beautyboxu-a-kolicine-su-ogranicene/958961.aspx,2017-03-24 10:01:44,1,0,0,1,0,0,0,0,0
107861655950370_1406117909458065,Index Fit: Danas ste malo kre-kre,22. dan Index Fit HIIT izazova: Pokreni cijelo tijelo,link,http://www.index.hr/fit/clanak/22-dan-index-fit-hiit-izazova-pokreni-cijelo-tijelo-/958964.aspx,2017-03-24 10:01:39,2,0,0,2,0,0,0,0,0
107861655950370_1406117872791402,Index Vijesti: Predstojnik odsjeka je uputio pismo privremenom pročelniku,"HRVATSKI STUDIJI Cenzura profesora, ne mogu uređivati web stranicu svog odsjeka",link,http://www.index.hr/vijesti/clanak/hrvatski-studiji-cenzura-profesora-ne-daju-im-uredivati-web-stranicu-svog-odsjeka/958963.aspx,2017-03-24 10:01:33,4,0,0,4,0,0,0,0,0
107861655950370_1406117786124744,Soraja tvrdi da pretpostavlja tko stoji iza svega.,Soraju pokušali ubiti u centru Beograda?,link,http://www.index.hr/black/clanak/soraju-pokusali-ubiti-u-centru-beograda/958967.aspx,2017-03-24 10:01:25,54,59,0,36,2,0,14,1,1
107861655950370_1406091899460666,Index Vijesti: Nekontrolirano paljenje korova uzelo žrtvu,Muškarac kod Cetingrada poginuo dok je palio korov,link,http://www.index.hr/vijesti/clanak/muskarac-kod-cetingrada-poginuo-dok-je-palio-korov/958951.aspx,2017-03-24 09:23:58,9,0,0,3,0,0,0,6,0
107861655950370_1406091842794005,"Index Vijesti: ""Teško je prihvatiti činjenicu da je to isti čovjek kao danas"".","Objavljena prva fotografija krvnika iz Londona: ""Bio je velikodušan i svi su ga voljeli""",link,http://www.index.hr/vijesti/clanak/objavljena-prva-fotografija-krvnika-iz-londona-bio-je-velikodusan-i-svi-su-ga-voljeli/958941.aspx,2017-03-24 09:23:52,5,0,0,5,0,0,0,0,0
107861655950370_1406091799460676,Index Sport: Koja legenda!,"BRAZILAC HIT NA INTERNETU Stigao je u Zagreb navijati za Hrvatsku, evo kako se zaljubio u reprezentaciju",link,http://www.index.hr/sport/clanak/brazilac-hit-na-internetu-stigao-je-u-zagreb-navijati-za-hrvatsku-evo-kako-se-zaljubio-u-reprezentaciju/958952.aspx,2017-03-24 09:23:46,1104,12,16,1071,31,1,1,0,0
107861655950370_1406091736127349,Pornićima se počela baviti kada je imala 71 godinu.,"Najstarija japanska porno glumica ide u mirovinu: ""Partneri ne mogu pratiti moj tempo""",link,http://www.index.hr/black/clanak/najstarija-japanska-porno-glumica-ide-u-mirovinu-partneri-ne-mogu-pratiti-moj-tempo/958950.aspx,2017-03-24 09:23:43,29,3,0,25,0,0,3,1,0
107861655950370_1406091702794019,,KAŽNJEN MASKIRANI NAVIJAČ SA ŠIPKOM 105 dana zatvora i godinu i pol ne smije na stadion,link,http://www.index.hr/sport/clanak/kaznjen-maskirani-navijac-sa-sipkom-105-dana-zatvora-i-godinu-i-pol-ne-smije-na-stadion/958948.aspx,2017-03-24 09:23:39,184,48,3,159,6,0,6,5,8
107861655950370_1406091629460693,Index Vijesti: Čekaju smrt zbog nebrige i neishranjenosti,UZNEMIRUJUĆE FOTOGRAFIJE Konji u Zagorju čekaju smrt u mukama,link,http://www.index.hr/vijesti/clanak/uznemirujuce-fotografije-konji-u-zagorju-cekaju-smrt-u-mukama/958934.aspx,2017-03-24 09:23:33,1066,210,275,149,2,2,0,443,470
107861655950370_1406091559460700,Index Sport: To mu stvarno nije trebalo,ČEKA GA TEŠKA KAZNA Messi seljački izvrijeđao suca,link,http://www.index.hr/sport/clanak/ceka-ga-teska-kazna-messi-seljacki-izvrijedao-suca/958944.aspx,2017-03-24 09:23:23,188,24,1,178,2,0,2,1,5
107861655950370_1406091489460707,"Što mislite, što se dogodilo?","FOTO Prizor koji je razljutio Zagrepčane: ""ZET-ovoj vozačici očito se žurilo popiti kavu""",link,http://www.index.hr/black/clanak/foto-prizor-koji-je-razljutio-zagrepcane-zetovoj-vozacici-ocito-se-zurilo-popiti-kavu/958958.aspx,2017-03-24 09:23:20,52,15,1,29,0,0,1,4,18
